index,gen
1153,cml
1153,dfrA44
1153,mph(E)
1153,msr(E)
1153,sul2
1154,abaF
1154,adeC
1154,amvA
1154,ant(2'')-Ia
1154,ant(3'')-IIa
1154,aph(3')-Ia
1154,aph(3')-VIa
1154,blaADC
1154,blaOXA-23
1154,blaOXA-69
1154,cml
1154,dfrA44
1154,mph(E)
1154,msr(E)
1154,sul2
1155,abaF
1155,adeC
1155,amvA
1155,ant(2'')-Ia
1155,ant(3'')-IIa
1155,aph(3')-Ia
1155,aph(3')-VIa
1155,blaADC
1155,blaOXA-23
1155,blaOXA-69
1155,cml
1155,dfrA44
1155,mph(E)
1155,msr(E)
1155,sul2
1156,abaF
1156,adeC
1156,amvA
1156,ant(2'')-Ia
1156,ant(3'')-IIa
1156,aph(3')-Ia
1156,aph(3')-VIa
1156,blaADC
1156,blaOXA-23
1156,blaOXA-69
1156,cml
1156,dfrA44
1156,mph(E)
1156,msr(E)
1156,sul2
1157,adeC
1157,amvA
1157,ant(2'')-Ia
1157,ant(3'')-IIa
1157,aph(3')-VIa
1157,blaADC
1157,blaOXA-23
1157,blaOXA-69
1157,cml
1157,dfrA44
1157,mph(E)
1157,msr(E)
1157,sul2
1158,abaF
1158,adeC
1158,amvA
1158,ant(2'')-Ia
1158,ant(3'')-IIa
1158,aph(3')-Ia
1158,aph(3')-VIa
1158,blaADC
1158,blaOXA-23
1158,blaOXA-69
1158,cml
1158,dfrA44
1158,mph(E)
1158,msr(E)
1158,sul2
1159,abaF
1159,adeC
1159,amvA
1159,ant(2'')-Ia
1159,ant(3'')-IIa
1159,aph(3')-VIa
1159,blaADC
1159,blaOXA-69
1159,cml
1159,dfrA44
1159,mph(E)
1159,msr(E)
1159,sul2
1160,abaF
1160,adeC
1160,amvA
1160,ant(2'')-Ia
1160,ant(3'')-IIa
1160,aph(3')-Ia
1160,aph(3')-VIa
1160,blaADC
1160,blaOXA-23
1160,blaOXA-69
1160,cml
1160,dfrA44
1160,mph(E)
1160,msr(E)
1160,sul2
1161,abaF
1161,adeC
1161,amvA
1161,ant(2'')-Ia
1161,ant(3'')-IIa
1161,aph(3')-VIa
1161,blaADC
1161,blaOXA-69
1161,cml
1161,dfrA44
1161,mph(E)
1161,msr(E)
1161,sul2
1162,abaF
1162,adeC
1162,amvA
1162,ant(3'')-IIa
1162,aph(3'')-Ib
1162,aph(3')-Ia
1162,aph(6)-Id
1162,armA
1162,blaADC-73
1162,blaOXA-23
1162,blaOXA-66
1162,blaTEM-1
1162,mph(E)
1162,msr(E)
1162,sul2
1162,tet(B)
1163,abaF
1163,adeC
1163,amvA
1163,ant(3'')-IIa
1163,aph(3'')-Ib
1163,aph(6)-Id
1163,armA
1163,blaADC-73
1163,blaOXA-23
1163,blaOXA-66
1163,mph(E)
1163,msr(E)
1163,sul2
1163,tet(B)
1164,abaF
1164,adeC
1164,amvA
1164,ant(3'')-IIa
1164,aph(3'')-Ib
1164,aph(6)-Id
1164,armA
1164,blaADC-73
1164,blaOXA-23
1164,blaOXA-66
1164,mph(E)
1164,msr(E)
1164,sul2
1164,tet(B)
1165,abaF
1165,adeC
1165,amvA
1165,ant(3'')-IIa
1165,aph(3'')-Ib
1165,aph(6)-Id
1165,armA
1165,blaADC-73
1165,blaOXA-23
1165,blaOXA-66
1165,mph(E)
1165,msr(E)
1165,sul2
1165,tet(B)
1166,aac(3)-Ia
1166,aadA1
1166,abaF
1166,adeC
1166,amvA
1166,ant(3'')-IIa
1166,aph(3')-Ia
1166,blaADC-11
1166,blaADC-176
1166,blaOXA-23
1166,blaOXA-69
1166,catA1
1166,sul1
1166,tet(A)
1167,aac(3)-Ia
1167,aadA1
1167,abaF
1167,adeC
1167,amvA
1167,ant(3'')-IIa
1167,aph(3')-Ia
1167,blaADC-11
1167,blaADC-176
1167,blaOXA-23
1167,blaOXA-69
1167,blaTEM-1
1167,catA1
1167,sul1
1167,tet(A)
1168,aac(3)-Ia
1168,aadA1
1168,abaF
1168,adeC
1168,amvA
1168,ant(3'')-IIa
1168,aph(3')-Ia
1168,blaADC-11
1168,blaADC-176
1168,blaOXA-23
1168,blaOXA-69
1168,blaTEM-1
1168,catA1
1168,sul1
1168,tet(A)
1169,aac(3)-Ia
1169,aadA1
1169,abaF
1169,adeC
1169,amvA
1169,ant(3'')-IIa
1169,aph(3')-Ia
1169,blaADC-11
1169,blaADC-176
1169,blaOXA-23
1169,blaOXA-69
1169,blaTEM-1
1169,catA1
1169,sul1
1169,tet(A)
1170,aac(3)-Ia
1170,aadA1
1170,abaF
1170,adeC
1170,amvA
1170,ant(3'')-IIa
1170,aph(3')-Ia
1170,blaADC-11
1170,blaADC-176
1170,blaOXA-23
1170,blaOXA-69
1170,blaTEM-1
1170,catA1
1170,sul1
1170,tet(A)
1171,aac(3)-Ia
1171,aadA1
1171,abaF
1171,adeC
1171,amvA
1171,ant(3'')-IIa
1171,aph(3')-Ia
1171,blaADC-11
1171,blaADC-176
1171,blaOXA-23
1171,blaOXA-69
1171,blaTEM-1
1171,catA1
1171,sul1
1171,tet(A)
1172,aac(3)-Ia
1172,aadA1
1172,abaF
1172,adeC
1172,amvA
1172,ant(3'')-IIa
1172,aph(3')-Ia
1172,blaADC-11
1172,blaADC-176
1172,blaOXA-23
1172,blaOXA-69
1172,blaTEM-1
1172,catA1
1172,sul1
1172,tet(A)
1173,aac(3)-Ia
1173,aadA1
1173,abaF
1173,adeC
1173,amvA
1173,ant(3'')-IIa
1173,aph(3')-Ia
1173,blaADC-11
1173,blaADC-176
1173,blaOXA-23
1173,blaOXA-69
1173,blaTEM-1
1173,catA1
1173,sul1
1173,tet(A)
1174,aac(3)-Ia
1174,aadA1
1174,abaF
1174,adeC
1174,amvA
1174,ant(3'')-IIa
1174,aph(3')-Ia
1174,blaADC-11
1174,blaADC-176
1174,blaOXA-23
1174,blaOXA-69
1174,blaTEM-1
1174,catA1
1174,sul1
1174,tet(A)
1175,aac(3)-Ia
1175,aadA1
1175,abaF
1175,adeC
1175,amvA
1175,ant(3'')-IIa
1175,aph(3')-Ia
1175,blaADC-11
1175,blaADC-176
1175,blaOXA-23
1175,blaOXA-69
1175,blaTEM-1
1175,catA1
1175,sul1
1175,tet(A)
1176,aac(3)-Ia
1176,aadA1
1176,abaF
1176,adeC
1176,amvA
1176,ant(3'')-IIa
1176,aph(3')-Ia
1176,blaADC-11
1176,blaADC-176
1176,blaOXA-23
1176,blaOXA-69
1176,blaTEM-1
1176,catA1
1176,sul1
1176,tet(A)
1177,aac(3)-Ia
1177,aadA1
1177,abaF
1177,adeC
1177,amvA
1177,ant(3'')-IIa
1177,aph(3')-Ia
1177,blaADC-11
1177,blaADC-176
1177,blaOXA-23
1177,blaOXA-69
1177,blaTEM-1
1177,catA1
1177,sul1
1177,tet(A)
1178,aac(3)-Ia
1178,aadA1
1178,abaF
1178,adeC
1178,amvA
1178,ant(3'')-IIa
1178,aph(3')-Ia
1178,blaADC-11
1178,blaADC-176
1178,blaOXA-23
1178,blaOXA-69
1178,blaTEM-1
1178,catA1
1178,sul1
1178,tet(A)
1179,aac(3)-Ia
1179,aadA1
1179,abaF
1179,adeC
1179,amvA
1179,ant(3'')-IIa
1179,aph(3')-Ia
1179,blaADC-11
1179,blaADC-176
1179,blaOXA-23
1179,blaOXA-69
1179,blaTEM-1
1179,catA1
1179,sul1
1179,tet(A)
1180,aac(3)-Ia
1180,aadA1
1180,abaF
1180,adeC
1180,amvA
1180,ant(3'')-IIa
1180,aph(3')-Ia
1180,blaADC-11
1180,blaADC-176
1180,blaOXA-23
1180,blaOXA-69
1180,blaTEM-1
1180,catA1
1180,sul1
1180,tet(A)
1181,aac(3)-Ia
1181,aadA1
1181,abaF
1181,adeC
1181,amvA
1181,ant(3'')-IIa
1181,aph(3')-Ia
1181,blaADC-11
1181,blaADC-176
1181,blaOXA-23
1181,blaOXA-69
1181,blaTEM-1
1181,catA1
1181,sul1
1181,tet(A)
1182,aac(3)-Ia
1182,aadA1
1182,abaF
1182,adeC
1182,amvA
1182,ant(3'')-IIa
1182,aph(3')-Ia
1182,blaADC-11
1182,blaADC-176
1182,blaOXA-23
1182,blaOXA-69
1182,blaTEM-1
1182,catA1
1182,sul1
1182,tet(A)
1183,aac(3)-Ia
1183,aadA1
1183,abaF
1183,adeC
1183,amvA
1183,ant(3'')-IIa
1183,aph(3')-Ia
1183,blaADC-11
1183,blaADC-176
1183,blaOXA-23
1183,blaOXA-69
1183,blaTEM-1
1183,catA1
1183,sul1
1183,tet(A)
1184,aac(3)-Ia
1184,aadA1
1184,abaF
1184,adeC
1184,amvA
1184,ant(3'')-IIa
1184,aph(3')-Ia
1184,blaADC-11
1184,blaADC-176
1184,blaOXA-23
1184,blaOXA-69
1184,blaTEM-1
1184,catA1
1184,sul1
1184,tet(A)
1185,aac(3)-Ia
1185,aadA1
1185,abaF
1185,adeC
1185,amvA
1185,ant(3'')-IIa
1185,aph(3')-Ia
1185,blaADC-11
1185,blaADC-176
1185,blaOXA-23
1185,blaOXA-69
1185,blaTEM-1
1185,catA1
1185,sul1
1185,tet(A)
1186,aac(3)-Ia
1186,aadA1
1186,abaF
1186,adeC
1186,amvA
1186,ant(3'')-IIa
1186,aph(3')-Ia
1186,aph(3')-VIa
1186,blaOXA-23
1186,blaOXA-69
1186,blaTEM-1
1186,catA1
1186,sul1
1186,tet(A)
1187,aac(3)-Ia
1187,aadA1
1187,abaF
1187,adeC
1187,amvA
1187,ant(3'')-IIa
1187,aph(3')-Ia
1187,blaOXA-23
1187,blaOXA-69
1187,blaTEM-1
1187,catA1
1187,sul1
1187,tet(A)
1188,aac(3)-IIe
1188,aac(6')-Ian
1188,abaF
1188,amvA
1188,ant(3'')-IIa
1188,aph(3'')-Ib
1188,aph(6)-Id
1188,blaADC
1188,blaOXA-24
1188,blaOXA-65
1188,blaTEM-1
1188,sul2
1189,aac(3)-IIe
1189,aac(6')-Ian
1189,abaF
1189,amvA
1189,ant(3'')-IIa
1189,aph(3'')-Ib
1189,aph(6)-Id
1189,blaADC
1189,blaOXA-24
1189,blaOXA-65
1189,blaTEM-1
1189,sul2
1190,aac(3)-IIe
1190,aac(6')-Ian
1190,abaF
1190,amvA
1190,ant(3'')-IIa
1190,aph(3'')-Ib
1190,aph(6)-Id
1190,blaADC
1190,blaOXA-24
1190,blaOXA-65
1190,blaTEM-1
1190,cml
1190,mph(E)
1190,msr(E)
1190,sul2
1191,aac(6')-I
1191,ant(6)-Ia
1191,aph(2'')-IVa
1191,aph(3')-IIIa
1191,dfrF
1191,erm(B)
1191,lnu(B)
1191,lsa(E)
1191,msr(C)
1191,sat4
1191,tet(L)
1191,tet(M)
1192,abaF
1192,adeC
1192,amvA
1192,ant(3'')-IIa
1192,aph(3'')-Ib
1192,aph(6)-Id
1192,armA
1192,blaADC-30
1192,blaOXA-23
1192,blaOXA-66
1192,mph(E)
1192,msr(E)
1192,tet(B)
1193,abaF
1193,adeC
1193,amvA
1193,ant(3'')-IIa
1193,aph(3'')-Ib
1193,aph(6)-Id
1193,armA
1193,blaADC-73
1193,blaOXA-23
1193,blaOXA-66
1193,blaTEM-1
1193,mph(E)
1193,msr(E)
1193,sul2
1193,tet(B)
1194,abaF
1194,adeC
1194,amvA
1194,ant(3'')-IIa
1194,aph(3'')-Ib
1194,aph(3')-Ia
1194,aph(6)-Id
1194,armA
1194,blaADC-73
1194,blaOXA-23
1194,blaOXA-66
1194,blaTEM-1
1194,mph(E)
1194,msr(E)
1194,sul2
1194,tet(B)
1195,abaF
1195,adeC
1195,amvA
1195,ant(3'')-IIa
1195,aph(3'')-Ib
1195,aph(6)-Id
1195,armA
1195,blaADC-73
1195,blaOXA-23
1195,blaOXA-66
1195,blaTEM-1
1195,mph(E)
1195,msr(E)
1195,sul2
1195,tet(B)
1196,abaF
1196,adeC
1196,amvA
1196,ant(3'')-IIa
1196,aph(3'')-Ib
1196,aph(6)-Id
1196,armA
1196,blaADC-73
1196,blaOXA-23
1196,blaOXA-66
1196,blaTEM-1
1196,mph(E)
1196,msr(E)
1196,sul2
1196,tet(B)
1197,abaF
1197,adeC
1197,amvA
1197,ant(3'')-IIa
1197,aph(3'')-Ib
1197,aph(3')-Ia
1197,aph(6)-Id
1197,armA
1197,blaADC-73
1197,blaOXA-23
1197,blaOXA-66
1197,blaTEM-1
1197,mph(E)
1197,msr(E)
1197,sul2
1197,tet(B)
1198,abaF
1198,adeC
1198,amvA
1198,ant(3'')-IIa
1198,aph(3'')-Ib
1198,aph(6)-Id
1198,armA
1198,blaADC-73
1198,blaOXA-23
1198,blaOXA-66
1198,blaTEM-1
1198,mph(E)
1198,msr(E)
1198,sul2
1198,tet(B)
1199,abaF
1199,amvA
1199,ant(2'')-Ia
1199,ant(3'')-IIa
1199,aph(3')-VIa
1199,bla
1199,blaADC-176
1199,blaADC-80
1199,blaOXA-94
1199,floR
1199,mph(E)
1199,msr(E)
1199,sul2
1200,abaF
1200,amvA
1200,ant(2'')-Ia
1200,ant(3'')-IIa
1200,bla
1200,blaADC-176
1200,blaADC-80
1200,blaOXA-94
1200,floR
1200,mph(E)
1200,msr(E)
1200,sul2
1201,abaF
1201,amvA
1201,ant(2'')-Ia
1201,ant(3'')-IIa
1201,aph(3')-VI
1201,bla
1201,blaADC-176
1201,blaADC-80
1201,blaNDM-1
1201,blaOXA-94
1201,ble
1201,sul2
1202,abaF
1202,amvA
1202,ant(2'')-Ia
1202,ant(3'')-IIa
1202,aph(3')-VI
1202,bla
1202,blaADC-176
1202,blaADC-80
1202,blaNDM-1
1202,blaOXA-94
1202,ble
1202,sul2
1203,abaF
1203,amvA
1203,ant(2'')-Ia
1203,ant(3'')-IIa
1203,aph(3')-VI
1203,bla
1203,blaNDM-1
1203,blaOXA-94
1203,ble
1203,mph(E)
1203,msr(E)
1203,sul2
1203,tet(39)
1204,abaF
1204,amvA
1204,ant(3'')-IIa
1204,blaADC-169
1204,blaOXA-402
1204,sul2
1205,abaF
1205,amvA
1205,ant(3'')-IIa
1205,blaADC-169
1205,blaOXA-402
1205,sul2
1206,abaF
1206,amvA
1206,ant(3'')-IIa
1206,blaADC-169
1206,blaNDM-1
1206,blaOXA-402
1206,ble
1206,tet(39)
1207,aacA16
1207,abaF
1207,adeC
1207,amvA
1207,ant(3'')-IIa
1207,aph(3'')-Ib
1207,aph(6)-Id
1207,blaADC-217
1207,blaOXA-66
1207,blaOXA-72
1207,mph(E)
1207,msr(E)
1207,sul2
1207,tet(B)
1208,aac(3)-Ia
1208,abaF
1208,adeC
1208,amvA
1208,ant(3'')-IIa
1208,aph(3'')-Ib
1208,aph(6)-Id
1208,blaADC-30
1208,blaOXA-66
1208,blaOXA-72
1208,mph(E)
1208,msr(E)
1208,sul2
1208,tet(B)
1209,aac(3)-Ia
1209,aacA16
1209,abaF
1209,adeC
1209,amvA
1209,ant(3'')-IIa
1209,aph(3'')-Ib
1209,aph(6)-Id
1209,blaADC-30
1209,blaOXA-66
1209,mph(E)
1209,msr(E)
1209,sul2
1209,tet(B)
1210,aac(3)-Ia
1210,aacA16
1210,abaF
1210,adeC
1210,amvA
1210,ant(3'')-IIa
1210,aph(3'')-Ib
1210,aph(6)-Id
1210,blaADC-30
1210,blaOXA-66
1210,blaOXA-72
1210,mph(E)
1210,msr(E)
1210,sul2
1210,tet(B)
1211,aacA16
1211,abaF
1211,adeC
1211,amvA
1211,ant(3'')-IIa
1211,aph(3'')-Ib
1211,aph(6)-Id
1211,blaADC-30
1211,blaOXA-66
1211,blaOXA-72
1211,sul2
1211,tet(B)
1212,aac(3)-Ia
1212,aacA16
1212,abaF
1212,adeC
1212,amvA
1212,ant(3'')-IIa
1212,aph(3'')-Ib
1212,aph(6)-Id
1212,blaADC-217
1212,blaOXA-66
1212,mph(E)
1212,msr(E)
1212,sul2
1212,tet(B)
1213,aac(3)-Ia
1213,aacA16
1213,abaF
1213,adeC
1213,amvA
1213,ant(3'')-IIa
1213,aph(3'')-Ib
1213,aph(6)-Id
1213,blaADC-30
1213,blaOXA-23
1213,blaOXA-66
1213,blaOXA-72
1213,mph(E)
1213,msr(E)
1213,sul2
1213,tet(B)
1214,aac(6')-Ib'
1214,aadA1
1214,abaF
1214,adeC
1214,amvA
1214,ant(3'')-IIa
1214,aph(3'')-Ib
1214,aph(6)-Id
1214,armA
1214,blaADC-30
1214,blaOXA-113
1214,blaTEM-1
1214,catB8
1214,mph(E)
1214,msr(E)
1214,sul1
1214,tet(B)
1215,adeC
1215,adeD
1215,adeE
1215,amvA
1215,bla
1215,blaADC
1216,aac(3)-Ia
1216,aadA1
1216,abaF
1216,adeC
1216,amvA
1216,ant(3'')-IIa
1216,blaADC-33
1216,blaOXA-72
1216,blaOXA-82
1216,blaOXA
1216,sul1
1217,abaF
1217,amvA
1217,ant(2'')-Ia
1217,ant(3'')-IIa
1217,blaADC-106
1217,blaCARB-16
1217,blaOXA-340
1217,blaOXA-58
1217,mph(E)
1217,msr(E)
1217,sul2
1218,abaF
1218,adeC
1218,amvA
1218,ant(3'')-IIa
1218,aph(3'')-Ib
1218,aph(6)-Id
1218,blaADC-249
1218,blaOXA-208
1218,sul2
1219,abaF
1219,amvA
1219,ant(3'')-IIa
1219,blaADC-247
1219,blaOXA-106
1220,amvA
1220,ant(3'')-IIa
1220,bla
1220,blaADC-160
1220,blaOXA-69
1221,abaF
1221,amvA
1221,ant(3'')-IIa
1221,bla
1221,blaADC-80
1221,blaOXA-94
1222,abaF
1222,amvA
1222,ant(3'')-IIa
1222,blaADC-103
1222,blaOXA-532
1223,abaF
1223,adeC
1223,amvA
1223,ant(3'')-IIa
1223,blaADC-249
1223,blaOXA-208
1224,abaF
1224,amvA
1224,ant(3'')-IIa
1224,blaADC-163
1224,blaOXA-121
1225,abaF
1225,amvA
1225,ant(3'')-IIa
1225,blaADC-156
1225,blaOXA-120
1226,abaF
1226,adeC
1226,amvA
1226,ant(3'')-IIa
1226,aph(3'')-Ib
1226,aph(6)-Id
1226,blaADC-249
1226,blaOXA-208
1226,sul2
1227,abaF
1227,amvA
1227,ant(3'')-IIa
1227,blaADC-107
1227,blaOXA-91
1228,abaF
1228,amvA
1228,ant(3'')-IIa
1228,bla
1228,blaADC-105
1228,blaOXA-104
1229,abaF
1229,amvA
1229,ant(3'')-IIa
1229,blaADC-52
1229,blaOXA-90
1230,aadA1
1230,abaF
1230,adeC
1230,amvA
1230,ant(2'')-Ia
1230,ant(3'')-IIa
1230,aph(3')-Ia
1230,blaADC-249
1230,blaCARB-16
1230,blaCTX-M-15
1230,blaOXA-208
1230,cml
1230,dfrA1
1230,sat2
1230,sul2
1231,abaF
1231,amvA
1231,ant(2'')-Ia
1231,ant(3'')-IIa
1231,aph(3')-VIa
1231,bla
1231,blaADC-176
1231,blaADC-80
1231,blaOXA-23
1231,blaOXA-94
1231,mph(E)
1231,msr(E)
1231,sul2
1232,abaF
1232,adeC
1232,amvA
1232,ant(3'')-IIa
1232,aph(3'')-Ib
1232,aph(6)-Id
1232,blaADC-30
1232,blaOXA-113
1232,blaTEM-1
1232,tet(B)
1233,adeC
1233,adeD
1233,adeE
1233,amvA
1233,blaADC-130
1234,amvA
1234,ant(3'')-IIa
1234,blaADC-242
1234,blaOXA-314
1235,abaF
1235,adeC
1235,amvA
1235,ant(3'')-IIa
1235,blaADC-249
1235,blaOXA-208
1236,abaF
1236,adeC
1236,amvA
1236,ant(3'')-IIa
1236,aph(3')-Ia
1236,blaADC-79
1236,blaOXA-66
1236,blaOXA
1236,blaTEM-1
1236,catA1
1236,sul1
1237,abaF
1237,adeC
1237,amvA
1237,ant(3'')-IIa
1237,blaADC-249
1237,blaOXA-208
1238,aac(3)-Ia
1238,aadA1
1238,abaF
1238,adeC
1238,amvA
1238,ant(2'')-Ia
1238,ant(3'')-IIa
1238,aph(3')-Ia
1238,aph(3')-VIa
1238,blaADC-79
1238,blaOXA-69
1238,sul1
1238,tet(A)
1239,amvA
1239,ant(3'')-IIa
1239,blaADC-80
1239,blaOXA-94
1240,adeC
1240,adeD
1240,adeE
1240,amvA
1240,blaADC
1241,abaF
1241,amvA
1241,ant(2'')-Ia
1241,ant(3'')-IIa
1241,blaADC-91
1241,blaOXA-90
1241,sul2
1242,abaF
1242,amvA
1242,ant(2'')-Ia
1242,ant(3'')-IIa
1242,blaADC-79
1242,blaOXA-100
1243,abaF
1243,adeC
1243,amvA
1243,ant(3'')-IIa
1243,blaADC-11
1243,blaOXA-69
1244,abaF
1244,adeC
1244,amvA
1244,ant(3'')-IIa
1244,aph(3'')-Ib
1244,aph(6)-Id
1244,blaADC-249
1244,blaOXA-208
1244,sul2
1245,abaF
1245,amvA
1245,ant(2'')-Ia
1245,ant(3'')-IIa
1245,aph(3'')-Ib
1245,aph(3')-IIIa
1245,aph(3')-VIb
1245,blaADC-79
1245,blaADC
1245,blaCARB-16
1245,blaI
1245,blaOXA-100
1245,blaPER-10
1245,blaR1
1245,blaRTG
1245,blaZ
1245,mph(C)
1245,msr(A)
1245,sat4
1245,sul2
1246,abaF
1246,amvA
1246,ant(3'')-IIa
1246,blaADC-52
1246,blaOXA-90
1247,abaF
1247,amvA
1247,ant(2'')-Ia
1247,ant(3'')-IIa
1247,blaADC-102
1247,blaOXA-90
1248,amvA
1248,ant(3'')-IIa
1248,blaADC-95
1248,blaOXA-100
1249,abaF
1249,adeC
1249,amvA
1249,ant(2'')-Ia
1249,blaADC-97
1249,blaOXA-242
1249,catB3
1249,dfrA19
1249,mph(E)
1249,msr(E)
1249,sul1
1250,amvA
1250,ant(3'')-IIa
1250,blaADC-242
1250,blaOXA-314
1251,amvA
1251,ant(3'')-IIa
1251,blaADC-216
1251,blaOXA-407
1252,abaF
1252,amvA
1252,ant(3'')-IIa
1252,blaADC-90
1252,blaOXA-528
1253,abaF
1253,amvA
1253,ant(2'')-Ia
1253,ant(3'')-IIa
1253,aph(3'')-Ib
1253,aph(6)-Id
1253,blaADC-26
1253,blaCARB-16
1253,blaOXA-259
1253,sul2
1254,abaF
1254,adeC
1254,amvA
1254,ant(3'')-IIa
1254,blaADC-11
1254,blaOXA-69
1255,amvA
1255,ant(3'')-IIa
1255,blaADC-241
1255,blaOXA-98
1256,amvA
1256,ant(3'')-IIa
1256,blaADC-241
1256,blaOXA-98
1257,abaF
1257,amvA
1257,ant(3'')-IIa
1257,bla
1257,blaADC-80
1257,blaOXA-94
1258,abaF
1258,amvA
1258,ant(3'')-IIa
1258,blaADC-241
1258,blaOXA-98
1259,abaF
1259,amvA
1259,ant(2'')-Ia
1259,ant(3'')-IIa
1259,aph(3'')-Ib
1259,aph(6)-Id
1259,blaADC-79
1259,blaCARB-50
1259,blaOXA-529
1259,sul2
1259,tet(39)
1260,abaF
1260,amvA
1260,ant(2'')-Ia
1260,ant(3'')-IIa
1260,blaADC-79
1260,blaOXA-100
1260,sul2
1261,abaF
1261,amvA
1261,ant(3'')-IIa
1261,blaADC
1261,blaOXA-65
1261,fos
1262,abaF
1262,adeC
1262,amvA
1262,ant(3'')-IIa
1262,aph(3'')-Ib
1262,aph(6)-Id
1262,blaADC-249
1262,blaOXA-208
1262,fos
1262,sul2
1262,tet(B)
1263,abaF
1263,amvA
1263,ant(3'')-IIa
1263,blaADC-26
1263,blaOXA-64
1264,abaF
1264,amvA
1264,ant(3'')-IIa
1264,blaADC
1264,blaOXA
1265,abaF
1265,amvA
1265,ant(2'')-Ia
1265,ant(3'')-IIa
1265,aph(3'')-Ib
1265,aph(6)-Id
1265,blaADC-26
1265,blaCARB-16
1265,blaOXA-259
1265,sul2
1266,abaF
1266,amvA
1266,ant(2'')-Ia
1266,ant(3'')-IIa
1266,aph(3'')-Ib
1266,aph(6)-Id
1266,blaADC-26
1266,blaOXA-259
1266,sul2
1267,abaF
1267,amvA
1267,ant(3'')-IIa
1267,blaADC-98
1267,blaOXA-531
1268,abaF
1268,amvA
1268,ant(2'')-Ia
1268,ant(3'')-IIa
1268,blaADC-79
1268,blaOXA-100
1268,sul2
1269,abaF
1269,amvA
1269,ant(3'')-IIa
1269,blaADC-163
1269,blaOXA-121
1270,abaF
1270,amvA
1270,ant(3'')-IIa
1270,blaADC-80
1270,blaOXA-94
1271,abaF
1271,amvA
1271,ant(2'')-Ia
1271,ant(3'')-IIa
1271,blaADC-52
1271,blaOXA-91
1272,amvA
1272,ant(3'')-IIa
1272,blaADC-167
1272,blaOXA-126
1273,abaF
1273,adeC
1273,amvA
1273,ant(2'')-Ia
1273,ant(3'')-IIa
1273,aph(3'')-Ib
1273,aph(3')-Ia
1273,aph(6)-Id
1273,blaADC-11
1273,blaOXA-69
1273,sul2
1273,tet(39)
1274,aac(3)-Ia
1274,aadA1
1274,abaF
1274,adeC
1274,amvA
1274,ant(3'')-IIa
1274,blaADC-94
1274,blaOXA-66
1274,catA1
1275,abaF
1275,amvA
1275,blaADC
1275,blaOXA-533
1276,adeD
1276,adeE
1276,amvA
1276,ant(3'')-IIa
1276,blaADC-18
1276,blaOXA-500
1277,amvA
1277,ant(3'')-IIa
1277,blaADC-245
1277,blaOXA-506
1278,adeD
1278,adeE
1278,amvA
1278,blaADC-18
1278,blaOXA-500
1279,amvA
1279,blaADC
1279,blaOXA-503
1279,blaOXA-72
1280,adeD
1280,adeE
1280,amvA
1280,blaADC-151
1280,blaOXA-72
1280,blaOXA
1281,adeE
1281,amvA
1281,ant(2'')-Ia
1281,ant(3'')-IIa
1281,aph(3')-VI
1281,blaADC-70
1281,blaGIM-1
1281,blaOXA-417
1281,sul1
1282,amvA
1282,ant(3'')-IIa
1282,aph(3')-VI
1282,blaADC-150
1282,blaNDM-1
1282,blaOXA-421
1282,ble
1282,fos
1283,adeD
1283,adeE
1283,amvA
1283,ant(3'')-IIa
1283,blaADC-18
1283,blaNDM-1
1283,blaOXA-500
1283,ble
1284,amvA
1284,ant(3'')-IIa
1284,blaADC-150
1284,blaNDM-1
1284,blaOXA-421
1284,ble
1285,adeD
1285,adeE
1285,amvA
1285,blaADC-18
1285,blaOXA-23
1285,blaOXA-500
1286,adeD
1286,adeE
1286,amvA
1286,ant(3'')-IIa
1286,blaADC-18
1286,blaOXA-500
1286,blaOXA-58
1287,adeD
1287,adeE
1287,amvA
1287,ant(3'')-IIa
1287,blaADC-70
1287,blaOXA-417
1288,aac(6')-Ib3
1288,adeD
1288,adeE
1288,amvA
1288,ant(2'')-Ia
1288,aph(3')-Ia
1288,blaADC-18
1288,blaCARB-16
1288,blaOXA-500
1288,sul1
1289,adeD
1289,adeE
1289,amvA
1289,ant(2'')-Ia
1289,ant(3'')-IIa
1289,aph(3')-VI
1289,blaADC-18
1289,blaGIM-1
1289,blaOXA-500
1289,sul1
1290,adeD
1290,adeE
1290,ant(2'')-Ia
1290,aph(3')-VI
1290,blaGIM-1
1290,blaOXA-500
1291,adeD
1291,adeE
1291,amvA
1291,ant(2'')-Ia
1291,ant(3'')-IIa
1291,aph(3')-VI
1291,blaADC-18
1291,blaGIM-1
1291,blaOXA-500
1291,sul1
1292,adeD
1292,adeE
1292,amvA
1292,ant(3'')-IIa
1292,blaADC-18
1292,blaOXA-500
1293,adeD
1293,adeE
1293,ant(3'')-IIa
1293,blaADC-245
1293,blaOXA-506
1293,mph(E)
1293,msr(E)
1294,aac(6')-Ib3
1294,adeD
1294,adeE
1294,amvA
1294,ant(2'')-Ia
1294,aph(3')-Ia
1294,blaADC-18
1294,blaCARB-16
1294,blaOXA-500
1295,adeD
1295,adeE
1295,amvA
1295,ant(3'')-IIa
1295,aph(3')-Ia
1295,aph(3')-VI
1295,blaADC-18
1295,blaNDM-1
1295,blaOXA-500
1295,ble
1296,aac(6')-Ib3
1296,amvA
1296,ant(2'')-Ia
1296,ant(3'')-IIa
1296,aph(3'')-Ib
1296,aph(3')-Ia
