index,#Organism group,Strain
216,Neisseria,SW0015
217,Neisseria,SW0032
218,Neisseria,SW0011
219,Neisseria,SW0018
220,Neisseria,SW0005
221,Neisseria,SW0002
222,Neisseria,1
223,Neisseria,CT532
224,Neisseria,H035
225,Vibrio cholerae,19NY03SH07
226,Vibrio cholerae,19CA02SH07
227,Enterobacter,UCI 24
228,Enterobacter,UCI 29
229,Enterobacter,MGH 25
230,Enterobacter,MGH 37
231,Enterobacter,UCI 36
232,Enterobacter,UCI 35
233,Enterobacter,AR_0366
234,Enterobacter,234
235,Enterobacter,49
236,Enterobacter,50
237,Enterobacter,51
238,Enterobacter,52
239,Enterobacter,53
240,Enterobacter,54
241,Enterobacter,Pasteur MLST 286
242,Enterobacter,55
243,Enterobacter,56
244,Enterobacter,57
245,Enterobacter,AR_0093
246,Enterobacter,Pasteur MLST 45
247,Enterobacter,R_G8
248,Enterobacter,R_G5
249,Enterobacter,BWH 27
250,Enterobacter,58
251,Enterobacter,Res13-Abat-PEA21-P1-02-B
252,Enterobacter,Res13-Abat-PEA21-P1-01
253,Enterobacter,BWH 39
254,Enterobacter,MGH 7
255,Campylobacter jejuni,FSIS1607213
256,Campylobacter jejuni,FSIS1607226
257,Campylobacter jejuni,FSIS1607232
258,Campylobacter jejuni,FSIS1607219
259,Campylobacter jejuni,FSIS1607025
260,Campylobacter jejuni,FSIS1607076
261,Campylobacter jejuni,FSIS1607083
262,Campylobacter jejuni,FSIS1607074
263,Campylobacter jejuni,FSIS1607075
264,Campylobacter jejuni,FSIS1607029
265,Campylobacter jejuni,FSIS1607078
266,Campylobacter jejuni,FSIS1607077
267,Campylobacter jejuni,FSIS1607079
268,Campylobacter jejuni,FSIS1607151
269,Campylobacter jejuni,FSIS1607142
270,Campylobacter jejuni,FSIS1607147
271,Campylobacter jejuni,FSIS1607137
272,Campylobacter jejuni,FSIS1607144
273,Campylobacter jejuni,FSIS1607003
274,Campylobacter jejuni,FSIS1607011
275,Campylobacter jejuni,FSIS1606999
276,Campylobacter jejuni,FSIS1607013
277,Campylobacter jejuni,FSIS1607017
278,Campylobacter jejuni,FSIS1606943
279,Campylobacter jejuni,FSIS1606947
280,Campylobacter jejuni,FSIS1607016
281,Campylobacter jejuni,FSIS1606945
282,Campylobacter jejuni,FSIS1607228
283,Enterococcus faecium,1
284,Enterococcus faecium,PR00859-7
285,Campylobacter jejuni,CVM N17C483
286,Campylobacter jejuni,CVM N17C575
287,Campylobacter jejuni,CVM N17C574
288,Campylobacter jejuni,CVM N17C053
289,Campylobacter jejuni,CVM N17C045
290,Campylobacter jejuni,CVM N17C047
291,Campylobacter jejuni,CVM N17C048
292,Campylobacter jejuni,CVM N17C114
293,Campylobacter jejuni,CVM N17C121
294,Campylobacter jejuni,CVM N17C227
295,Campylobacter jejuni,CVM N17C109
296,Campylobacter jejuni,CVM N17C172
297,Campylobacter jejuni,CVM N17C658
298,Campylobacter jejuni,CVM N17C657
299,Campylobacter jejuni,CVM N17C659
300,Campylobacter jejuni,CVM N17C346
301,Campylobacter jejuni,CVM N17C305
302,Campylobacter jejuni,CVM N17C092
303,Campylobacter jejuni,CVM N17C133
304,Campylobacter jejuni,CVM N17C611
305,Campylobacter jejuni,CVM N17C066
306,Campylobacter jejuni,CVM N17C075
307,Campylobacter jejuni,CVM N17C543
308,Campylobacter jejuni,CVM N17C544
309,Campylobacter jejuni,CVM N17C193
310,Campylobacter jejuni,CVM N17C586
311,Campylobacter jejuni,CVM N17C468
312,Campylobacter jejuni,CVM N17C467
313,Campylobacter jejuni,CVM N17C466
314,Campylobacter jejuni,CVM N17C028
315,Campylobacter jejuni,CVM N17C061
316,Campylobacter jejuni,CVM N17C060
317,Campylobacter jejuni,CVM N17C238
318,Campylobacter jejuni,CVM N17C268
319,Campylobacter jejuni,CVM N17C270
320,Campylobacter jejuni,CVM N17C499
321,Campylobacter jejuni,CVM N17C322
322,Campylobacter jejuni,CVM N17C124
323,Campylobacter jejuni,CVM N17C131
324,Campylobacter jejuni,CVM N17C056
325,Campylobacter jejuni,FSIS1606818
326,Campylobacter jejuni,FSIS1606743
327,Campylobacter jejuni,FSIS1606739
328,Campylobacter jejuni,FSIS1606740
329,Campylobacter jejuni,FSIS1606738
330,Campylobacter jejuni,FSIS1606903
331,Campylobacter jejuni,FSIS1606861
332,Campylobacter jejuni,FSIS1606942
333,Campylobacter jejuni,FSIS1606855
334,Campylobacter jejuni,FSIS1606912
335,Campylobacter jejuni,FSIS1606377
336,Campylobacter jejuni,FSIS1606381
337,Campylobacter jejuni,FSIS1606388
338,Campylobacter jejuni,FSIS1606378
339,Campylobacter jejuni,FSIS1606370
340,Campylobacter jejuni,FSIS1606363
341,Campylobacter jejuni,FSIS1606353
342,Campylobacter jejuni,FSIS1606362
343,Campylobacter jejuni,FSIS1606564
344,Campylobacter jejuni,FSIS1606552
345,Campylobacter jejuni,FSIS1606563
346,Campylobacter jejuni,FSIS1606587
347,Campylobacter jejuni,FSIS1606586
348,Campylobacter jejuni,FSIS1606589
349,Campylobacter jejuni,FSIS1606591
350,Campylobacter jejuni,FSIS1606603
351,Campylobacter jejuni,FSIS1606590
352,Campylobacter jejuni,FSIS1606614
353,Campylobacter jejuni,FSIS1606604
354,Campylobacter jejuni,FSIS1606671
355,Campylobacter jejuni,FSIS1606675
356,Campylobacter jejuni,FSIS1606672
357,Campylobacter jejuni,FSIS1606673
358,Campylobacter jejuni,FSIS1606665
359,Campylobacter jejuni,FSIS1606646
360,Campylobacter jejuni,FSIS1606456
361,Campylobacter jejuni,FSIS1606459
362,Campylobacter jejuni,FSIS1606463
363,Campylobacter jejuni,FSIS1606471
364,Campylobacter jejuni,FSIS1606481
365,Campylobacter jejuni,FSIS1606484
366,Campylobacter jejuni,FSIS1606491
367,Campylobacter jejuni,FSIS1606753
368,Campylobacter jejuni,FSIS1606793
369,Campylobacter jejuni,FSIS1606800
370,Campylobacter jejuni,FSIS1606802
371,Campylobacter jejuni,FSIS1606237
372,Campylobacter jejuni,FSIS1606252
373,Campylobacter jejuni,FSIS1606235
374,Campylobacter jejuni,FSIS1606250
375,Campylobacter jejuni,FSIS1606170
