index,#Organism group,Strain
3879,Campylobacter jejuni,19NC010CB18_C
3880,Campylobacter jejuni,CVM N18C508
3881,Campylobacter jejuni,CVM N19C642
3882,Campylobacter jejuni,FSIS1606953
3883,Campylobacter jejuni,CVM N16C232
3884,Campylobacter jejuni,CVM N17C647
3885,Campylobacter jejuni,CVM N18C310
3886,Campylobacter jejuni,CVM N16C101
3887,Campylobacter jejuni,CVM N16C128
3888,Campylobacter jejuni,CVM N16C261
3889,Campylobacter jejuni,CVM N16C263
3890,Campylobacter jejuni,CVM N16C302
3891,Campylobacter jejuni,CVM N16C354
3892,Campylobacter jejuni,CVM N17C253
3893,Campylobacter jejuni,CVM N17C640
3894,Campylobacter jejuni,CVM N17C785
3895,Campylobacter jejuni,CVM N17C458
3896,Campylobacter jejuni,CVM N18C083
3897,Campylobacter jejuni,CVM N18C535
3898,Campylobacter jejuni,19WA10CB39-C1
3899,Campylobacter jejuni,CVM N16C456
3900,Campylobacter jejuni,CVM N17C504
3901,Campylobacter jejuni,CVM N17C368
3902,Campylobacter jejuni,CVM N17C776
3903,Campylobacter jejuni,CVM N17C595
3904,Campylobacter jejuni,CVM N18C036
3905,Campylobacter jejuni,19IA12CB20-C1
3906,Campylobacter jejuni,CVM N16C057
3907,Campylobacter jejuni,CVM N17C501
3908,Campylobacter jejuni,CVM N18C091
3909,Campylobacter jejuni,CVM N18C570
3910,E.coli and Shigella,BIDMC 39
3911,E.coli and Shigella,BIDMC 38
3912,E.coli and Shigella,BIDMC 37
3913,E.coli and Shigella,BIDMC 19A
3914,E.coli and Shigella,BWH 40
3915,E.coli and Shigella,BIDMC 83
3916,E.coli and Shigella,BIDMC 59
3917,E.coli and Shigella,BIDMC 65
3918,E.coli and Shigella,BIDMC 71
3919,E.coli and Shigella,BIDMC 73
3920,E.coli and Shigella,BIDMC 74
3921,E.coli and Shigella,BIDMC 75
3922,E.coli and Shigella,BIDMC 77
3923,E.coli and Shigella,BIDMC 78
3924,E.coli and Shigella,BIDMC 79
3925,E.coli and Shigella,MGH 57
3926,E.coli and Shigella,MGH 58
3927,E.coli and Shigella,UCI 51
3928,E.coli and Shigella,UCI 53
3929,E.coli and Shigella,UCI 66
3930,E.coli and Shigella,CVM N36963PS
3931,E.coli and Shigella,CVM N36225PS
3932,E.coli and Shigella,CVM N37059PS
3933,E.coli and Shigella,CVM N36401PS
3934,E.coli and Shigella,CVM N38663PS
3935,E.coli and Shigella,CVM N38733PS
3936,E.coli and Shigella,CVM N38795PS
3937,E.coli and Shigella,CVM N33552PS
3938,E.coli and Shigella,CVM N33443PS
3939,E.coli and Shigella,CVM N34322PS
3940,E.coli and Shigella,CVM N41556PS
3941,E.coli and Shigella,CVM N38834PS
3942,E.coli and Shigella,CVM N41498PS
3943,E.coli and Shigella,CVM N36400PS
3944,E.coli and Shigella,CVM N36609PS
3945,E.coli and Shigella,CVM N34351PS
3946,E.coli and Shigella,CVM N34352PS
3947,E.coli and Shigella,CVM N33849PS
3948,E.coli and Shigella,CVM N36312PS
3949,E.coli and Shigella,CVM N36393PS
3950,E.coli and Shigella,CVM N34054PS
3951,E.coli and Shigella,CVM N34077PS
3952,E.coli and Shigella,CVM N33742PS
3953,E.coli and Shigella,CVM N36834PS
3954,E.coli and Shigella,CVM N36093PS
3955,E.coli and Shigella,CVM N33640PS
3956,E.coli and Shigella,CVM N33633PS
3957,E.coli and Shigella,CVM N33687PS
3958,E.coli and Shigella,CVM N33707PS
3959,E.coli and Shigella,CVM N38826PS
3960,E.coli and Shigella,CVM N34543PS
3961,E.coli and Shigella,CVM N34557PS
3962,E.coli and Shigella,CVM N36158PS
3963,E.coli and Shigella,CVM N36204PS
3964,E.coli and Shigella,CVM N36918PS
3965,E.coli and Shigella,CVM N33561PS
3966,E.coli and Shigella,CVM N36837PS
3967,E.coli and Shigella,CVM N36903PS
3968,E.coli and Shigella,CVM N36404PS
3969,E.coli and Shigella,CVM N33601PS
3970,E.coli and Shigella,CVM N38823PS
3971,E.coli and Shigella,CVM N33857PS
3972,E.coli and Shigella,CVM N33978PS
3973,E.coli and Shigella,CVM N34152PS
3974,E.coli and Shigella,CVM N33825PS
3975,E.coli and Shigella,CVM N34228PS
3976,E.coli and Shigella,CVM N33720PS
3977,E.coli and Shigella,CVM N34577PS
3978,E.coli and Shigella,CVM N36210PS
3979,E.coli and Shigella,CVM N36601PS
3980,E.coli and Shigella,CVM N38428PS
3981,E.coli and Shigella,CVM N38796PS
3982,E.coli and Shigella,CVM N36099PS
3983,E.coli and Shigella,CVM N38381PS
3984,E.coli and Shigella,CVM N33429PS
3985,E.coli and Shigella,CVM N33653PS
3986,E.coli and Shigella,1
3987,E.coli and Shigella,2
3988,E.coli and Shigella,3
3989,E.coli and Shigella,4
3990,E.coli and Shigella,5
3991,E.coli and Shigella,6
3992,E.coli and Shigella,7
3993,E.coli and Shigella,8
3994,E.coli and Shigella,9
3995,E.coli and Shigella,10
3996,E.coli and Shigella,11
3997,E.coli and Shigella,12
3998,E.coli and Shigella,13
3999,E.coli and Shigella,14
4000,E.coli and Shigella,15
4001,E.coli and Shigella,16
4002,E.coli and Shigella,17
4003,E.coli and Shigella,18
4004,E.coli and Shigella,19
4005,E.coli and Shigella,20
4006,E.coli and Shigella,21
4007,E.coli and Shigella,22
4008,E.coli and Shigella,FSIS1605819
4009,E.coli and Shigella,FSIS1605915
4010,E.coli and Shigella,FSIS1606083
4011,E.coli and Shigella,FSIS1606137
4012,E.coli and Shigella,23
4013,E.coli and Shigella,24
4014,E.coli and Shigella,25
4015,E.coli and Shigella,26
4016,E.coli and Shigella,FSIS1606254
4017,E.coli and Shigella,27
4018,E.coli and Shigella,FSIS1606978
4019,E.coli and Shigella,FSIS1607067
4020,E.coli and Shigella,28
4021,E.coli and Shigella,Achtman MLST 405
4022,E.coli and Shigella,29
4023,E.coli and Shigella,30
4024,E.coli and Shigella,Achtman MLST 131
4025,E.coli and Shigella,31
4026,E.coli and Shigella,Achtman MLST 354
4027,E.coli and Shigella,Achtman MLST 361
4028,E.coli and Shigella,Achtman MLST 410
4030,E.coli and Shigella,32
4032,E.coli and Shigella,33
4033,E.coli and Shigella,34
4034,E.coli and Shigella,35
4035,E.coli and Shigella,36
4036,E.coli and Shigella,37
4037,E.coli and Shigella,38
4038,E.coli and Shigella,39
4040,E.coli and Shigella,40
4041,E.coli and Shigella,41
4042,E.coli and Shigella,42
4043,E.coli and Shigella,43
4044,E.coli and Shigella,44
4046,E.coli and Shigella,45
4048,E.coli and Shigella,46
4051,E.coli and Shigella,47
4052,E.coli and Shigella,48
4053,E.coli and Shigella,49
4054,E.coli and Shigella,50
4055,E.coli and Shigella,51
4056,E.coli and Shigella,52
4057,E.coli and Shigella,53
4058,E.coli and Shigella,54
4059,E.coli and Shigella,55
4060,E.coli and Shigella,56
4061,E.coli and Shigella,57
4062,E.coli and Shigella,58
4063,E.coli and Shigella,59
4064,Salmonella enterica,WAPHL-SAL-A00214
4065,Salmonella enterica,WAPHL-SAL-A00226
4066,Salmonella enterica,WAPHL-SAL-A00266
4067,Salmonella enterica,WAPHL-SAL-A00278
4068,Salmonella enterica,WAPHL-SAL-A00279
4069,Salmonella enterica,WAPHL-SAL-A00372
4070,Salmonella enterica,WAPHL-SAL-A00379
4071,Salmonella enterica,WAPHL-SAL-A00382
4072,Salmonella enterica,FL-NRM016
4073,Salmonella enterica,WAPHL-SAL-A00353
4074,Salmonella enterica,WAPHL-SAL-A00360
4075,Salmonella enterica,FL-NRM052
4076,Salmonella enterica,FL-NRM085
4077,Salmonella enterica,WAPHL_SAL-A00461
4078,Salmonella enterica,NY-29459
4079,Salmonella enterica,AZ-TG74324
4080,Salmonella enterica,WAPHL_SAL-A00479
4081,Salmonella enterica,AZ-TG74628
4082,Salmonella enterica,AZ-TG74744
4083,Salmonella enterica,NY-29766
4084,Salmonella enterica,AZ-TG74868
4085,Salmonella enterica,WAPHL_SAL-A00523
4086,Salmonella enterica,WAPHL_SAL-A00537
4087,Salmonella enterica,WAPHL_SAL-A00585
4088,Salmonella enterica,WAPHL_SAL-A00596
4089,Salmonella enterica,WAPHL_SAL-A00595
4090,Salmonella enterica,AZ-TG74568
4091,Salmonella enterica,AZ-TG74524
4092,Salmonella enterica,NY-30440
4093,Salmonella enterica,NY-30665
4094,Salmonella enterica,NY-30666
4095,Salmonella enterica,AZ-TG74600
4096,Salmonella enterica,NY-32513
4097,Salmonella enterica,NY-N10
4098,Salmonella enterica,WAPHL_SAL-A00601
4099,Salmonella enterica,WAPHL_SAL-A00705
4100,Salmonella enterica,WAPHL_SAL-A00701
4101,Salmonella enterica,NY-N13128
4102,Salmonella enterica,FL-NRM245
4103,Salmonella enterica,NY-N13140
4104,Salmonella enterica,NY-N13143
4105,Salmonella enterica,WAPHL_SAL-A00732
4106,Salmonella enterica,WAPHL_SAL-A00735
4107,E.coli and Shigella,ICBEC7P
4108,E.coli and Shigella,UCI 52
4109,E.coli and Shigella,60
4110,E.coli and Shigella,61
4111,E.coli and Shigella,62
4112,E.coli and Shigella,63
4113,E.coli and Shigella,64
4114,E.coli and Shigella,65
4115,E.coli and Shigella,66
4116,E.coli and Shigella,5CRE51
4117,E.coli and Shigella,AR_0119
4118,E.coli and Shigella,AR_0114
4119,E.coli and Shigella,ECSw+02
4120,E.coli and Shigella,30934
4121,E.coli and Shigella,67
4122,E.coli and Shigella,68
4123,E.coli and Shigella,69
4124,E.coli and Shigella,70
4125,E.coli and Shigella,71
4126,E.coli and Shigella,72
4127,E.coli and Shigella,73
4128,E.coli and Shigella,74
4129,E.coli and Shigella,75
4130,E.coli and Shigella,76
4131,E.coli and Shigella,77
4132,E.coli and Shigella,78
4133,E.coli and Shigella,79
4134,E.coli and Shigella,ECCTRSRTH02
4135,E.coli and Shigella,ECCRETH04
4136,E.coli and Shigella,ECCRETH05
4137,E.coli and Shigella,ECCRETH06
4138,E.coli and Shigella,ECCTRPRTH03
4139,E.coli and Shigella,ECCTRPRTH04
4140,E.coli and Shigella,ECCRETH02
4141,E.coli and Shigella,ECH+09
4142,E.coli and Shigella,ECH+10
4143,E.coli and Shigella,ECH+11
4144,E.coli and Shigella,ECLC+06
4145,E.coli and Shigella,ECLC+07
4146,E.coli and Shigella,ECSW+02
4147,E.coli and Shigella,ECSW+04
4148,E.coli and Shigella,ECSW+05
4149,E.coli and Shigella,ECSW+07
4150,E.coli and Shigella,ECSW+09
4151,E.coli and Shigella,ECSW+11
4152,E.coli and Shigella,ECH+05
4153,E.coli and Shigella,ECCTRSRTH06
4154,E.coli and Shigella,ECCTRSRTH07
4155,E.coli and Shigella,ECCTRSRTH09
4156,E.coli and Shigella,ECCTRSRTH10
4157,E.coli and Shigella,ECH+19
4158,E.coli and Shigella,ECH+20
4159,E.coli and Shigella,ECPUTH08
4160,E.coli and Shigella,ECPSTH02
4161,E.coli and Shigella,ECPSTH04
4162,E.coli and Shigella,ECPSTH07
4163,E.coli and Shigella,ECPSTH08
4164,E.coli and Shigella,KPPUTH06
4165,E.coli and Shigella,ECH+14
4166,E.coli and Shigella,ECH+13
4167,E.coli and Shigella,ECH+18
4168,E.coli and Shigella,ECSW+10
4169,E.coli and Shigella,ECSW+12
4170,E.coli and Shigella,ECH+04
4171,E.coli and Shigella,ECH+08
4172,E.coli and Shigella,ECPUTH06
4173,E.coli and Shigella,ECPUTH07
4174,E.coli and Shigella,ECPSTH05
4175,E.coli and Shigella,ECPSTH06
4176,E.coli and Shigella,ECPUTH09
4177,E.coli and Shigella,ECCTRSRTH08
4178,E.coli and Shigella,ECFood+01
4179,E.coli and Shigella,ECSw+01
4180,E.coli and Shigella,ECH+01
4181,E.coli and Shigella,ECENV+01
4182,E.coli and Shigella,ECFood+06
4183,E.coli and Shigella,ECFood+08
4184,E.coli and Shigella,ECFood+09
4185,E.coli and Shigella,ECLC+04
4186,E.coli and Shigella,ECFood+03
4187,E.coli and Shigella,ECLC+05
4188,E.coli and Shigella,AR_0015
4189,E.coli and Shigella,AR_0019
4190,E.coli and Shigella,AR_0017
4191,E.coli and Shigella,CRE1540
4192,E.coli and Shigella,AR_0077
4193,E.coli and Shigella,80
4194,E.coli and Shigella,AR_0368
4195,Salmonella enterica,CVM N43447
4196,Salmonella enterica,CVM N43455
4197,Salmonella enterica,CVM N43460
4198,Salmonella enterica,CVM N44710
4199,Salmonella enterica,CVM N45402
4200,Salmonella enterica,CVM N48685
4201,Salmonella enterica,CVM N48690
4202,Salmonella enterica,CVM N48706
4203,Salmonella enterica,CVM N50425
4204,Salmonella enterica,CVM N51255
4205,Salmonella enterica,CVM N51275
4206,Salmonella enterica,CVM-N15223
4207,Salmonella enterica,CVM N44693
4208,Salmonella enterica,CVM N46848
4209,Salmonella enterica,CVM N43470
4210,Salmonella enterica,CVM N46826
4211,Salmonella enterica,CVM-N15764
4212,Salmonella enterica,WAPHL_SAL-A00849
4213,Salmonella enterica,WAPHL_SAL-A00853
4214,Salmonella enterica,WAPHL_SAL-A00883
4215,Salmonella enterica,CVM-N15770
4216,Salmonella enterica,NY-33945
4217,Salmonella enterica,VA-WGS-00623
4218,Salmonella enterica,VA-WGS-00640
4219,Salmonella enterica,CVM N53049
4220,Salmonella enterica,CVM N53073
4221,Salmonella enterica,CVM N54265
4222,Salmonella enterica,CVM N54704
4223,Salmonella enterica,CVM N54735
4224,Salmonella enterica,CVM N55375
4225,Salmonella enterica,CVM-N16437
4226,Salmonella enterica,CVM-N16422
4227,Salmonella enterica,VA-WGS-00543
4228,Salmonella enterica,VA-WGS-00613
4229,Salmonella enterica,VA-WGS-00464
4230,Salmonella enterica,CVM N29307
4231,Salmonella enterica,CVM N37950
4232,Salmonella enterica,CVM N38858
4233,Salmonella enterica,CVM N32042
4234,Salmonella enterica,NY-N19912
4235,Salmonella enterica,CVM N38855
4236,Salmonella enterica,CVM N38882
4237,Salmonella enterica,CVM N38893
4238,Salmonella enterica,CVM N40395
4239,Salmonella enterica,CVM N42507
4240,Salmonella enterica,CVM N42528
4241,Salmonella enterica,WAPHL-SAL-A00969
4242,Salmonella enterica,NY-N19959
4243,Salmonella enterica,NY-N19875
4244,Salmonella enterica,CVM-N23829
4245,Salmonella enterica,NY-N19997
4246,Salmonella enterica,WAPHL-SAL-A01035
4247,Salmonella enterica,NY-N20010
4248,Salmonella enterica,NY-N20062
4249,Salmonella enterica,WAPHL-SAL-A01121
4250,Salmonella enterica,FSIS1605561
4251,Salmonella enterica,FSIS1605576
4252,Salmonella enterica,NY-N20075
4253,Salmonella enterica,NY-N20068
4254,Salmonella enterica,CVM-N23669
4255,Salmonella enterica,NY-N20102
4256,Salmonella enterica,FSIS1605570
4257,Salmonella enterica,FSIS1605671
4258,Salmonella enterica,CVM-N23640
4259,Salmonella enterica,CVM-N26089
4260,Salmonella enterica,FSIS1605669
4261,Salmonella enterica,WAPHL-SAL-A01034
4262,Salmonella enterica,FSIS1605763
4263,Salmonella enterica,FSIS1605739
4264,Salmonella enterica,FSIS1605898
4265,Salmonella enterica,FSIS1605896
4266,Salmonella enterica,FSIS1605914
4267,Salmonella enterica,FSIS1605908
4268,Salmonella enterica,FSIS1605825
4269,Salmonella enterica,FSIS1605835
4270,Salmonella enterica,FSIS1605836
4271,Salmonella enterica,FSIS1605826
4272,Salmonella enterica,CVM-N19774
4273,Salmonella enterica,CVM-N19780
4274,Salmonella enterica,FSIS1605975
4275,Salmonella enterica,CVM-N19823
4276,Salmonella enterica,CVM-N19824
4277,Salmonella enterica,CVM-N26923
4278,Salmonella enterica,CVM-N26924
4279,Salmonella enterica,CVM N56224
4280,Salmonella enterica,CVM N56247
4281,Salmonella enterica,CVM N57999
4282,Salmonella enterica,CVM N56946F
4283,Salmonella enterica,CVM N56962F
4284,Salmonella enterica,CVM N56963F
4285,Salmonella enterica,CVM N56978F
4286,Salmonella enterica,CVM N57069F
4287,Salmonella enterica,CVM N57159F
4288,Salmonella enterica,CVM N57229F
4289,Salmonella enterica,CVM N57285F
4290,Salmonella enterica,CVM N57298F
4291,Salmonella enterica,CVM N57313F
4292,Salmonella enterica,CVM N57326F
4293,Salmonella enterica,CVM N57349F
4294,Salmonella enterica,CVM N57436F
4295,Salmonella enterica,CVM N57469F
4296,Salmonella enterica,CVM N57488F
4297,Salmonella enterica,CVM N57491F
4298,Salmonella enterica,CVM N57533F
4299,Salmonella enterica,CVM N57571F
4300,Salmonella enterica,CVM N57613F
4301,Salmonella enterica,CVM N57645F
4302,Salmonella enterica,CVM N57648F
4303,Salmonella enterica,CVM N57740F
4304,Salmonella enterica,CVM N57746F
4305,Salmonella enterica,CVM N57800F
4306,Salmonella enterica,CVM N57804F
4307,Salmonella enterica,CVM N57830F
4308,Salmonella enterica,CVM N57869F
4309,Salmonella enterica,CVM N57915F
4310,Salmonella enterica,CVM N57930F
4311,Salmonella enterica,CVM N57957F
4312,Salmonella enterica,CVM-N23641
4313,Salmonella enterica,FSIS1606128
4314,Salmonella enterica,CVM-N27255
4315,Salmonella enterica,FSIS1606123
4316,Salmonella enterica,FSIS1606078
4317,Salmonella enterica,FSIS1606124
4318,Salmonella enterica,CVM-N27386
4319,Salmonella enterica,FSIS1606256
4320,Salmonella enterica,FSIS1606185
4321,Salmonella enterica,FSIS1606178
4322,Salmonella enterica,FSIS1606184
4323,Salmonella enterica,FSIS1606287
4324,Salmonella enterica,FSIS1606290
4325,Salmonella enterica,FSIS1606197
4326,Salmonella enterica,FSIS1606189
4327,Salmonella enterica,CVM-N19861
4328,Salmonella enterica,FSIS1606396
4329,Salmonella enterica,FSIS1606517
4330,Salmonella enterica,FSIS1606521
4331,Salmonella enterica,FSIS1606514
4332,Salmonella enterica,CVM-N28366
4333,Salmonella enterica,FSIS1606639
4334,Salmonella enterica,FSIS1606569
4335,Salmonella enterica,FSIS1606700
4336,Salmonella enterica,FSIS1606702
4337,Salmonella enterica,FSIS1606698
4338,Salmonella enterica,FSIS1606772
4339,Salmonella enterica,FSIS1606774
4340,Salmonella enterica,FSIS1606629
4341,Salmonella enterica,CVM N41753
4342,Salmonella enterica,CVM N40371
4343,Salmonella enterica,CVM N40380
4344,Salmonella enterica,CVM N42485
4345,Salmonella enterica,CVM N41911
4346,Salmonella enterica,CVM N42456
4347,Salmonella enterica,CVM N30667
4348,Salmonella enterica,CVM N37933
4349,Salmonella enterica,CVM N37946
4350,Salmonella enterica,CVM N32749
4351,Salmonella enterica,CVM N37903
4352,Salmonella enterica,FSIS1606890
4353,Salmonella enterica,FSIS1606828
4354,Salmonella enterica,FSIS1606826
4355,Salmonella enterica,FSIS1606791
4356,Salmonella enterica,FSIS1606864
4357,Salmonella enterica,FSIS1606919
4358,Salmonella enterica,FSIS1606931
4359,Salmonella enterica,FSIS1606955
4360,Salmonella enterica,FSIS1606959
4361,Salmonella enterica,FSIS1606970
4362,Salmonella enterica,FSIS1606973
4363,Salmonella enterica,FSIS1607173
4364,Salmonella enterica,FSIS1607103
4365,Salmonella enterica,FSIS1607102
4366,Salmonella enterica,FSIS1607158
4367,Salmonella enterica,FSIS1607164
4368,Salmonella enterica,FL-NRM102
4369,E.coli and Shigella,SCAID WND1-2022 (119)
4370,E.coli and Shigella,USDA-ARS-USMARC-51408
4371,E.coli and Shigella,USDA-ARS-USMARC-51688
4372,E.coli and Shigella,USDA-ARS-USMARC-50748
4373,E.coli and Shigella,USDA-ARS-USMARC-49610
4374,Salmonella enterica,2014AM-0241
4375,Salmonella enterica,2014AM-2275
4376,Salmonella enterica,2014AM-1780
4377,Salmonella enterica,2014AM-2579
4378,Salmonella enterica,2014AM-0431
4379,Salmonella enterica,2014AM-2871
4380,Salmonella enterica,2014AM-3084
4381,Salmonella enterica,2014AM-0860
4382,Salmonella enterica,2014AM-0039
4383,E.coli and Shigella,CVM N19EC0637
4384,E.coli and Shigella,CVM N19EC0215
4385,E.coli and Shigella,CVM N19EC1259
4386,E.coli and Shigella,CVM N19EC0209
4387,E.coli and Shigella,CVM N19EC0208
4388,Salmonella enterica,1
4389,E.coli and Shigella,HUM3355
4390,E.coli and Shigella,ESBL4619
4391,E.coli and Shigella,ESBL4618
4392,E.coli and Shigella,ESBL4620
4393,E.coli and Shigella,ESBL4612
4394,E.coli and Shigella,ESBL4616
4395,E.coli and Shigella,ESBL4611
4396,E.coli and Shigella,ESBL4607
4397,E.coli and Shigella,ESBL4599
4398,E.coli and Shigella,ESBL4600
4399,E.coli and Shigella,ESBL4586
4400,E.coli and Shigella,ESBL4582
4401,E.coli and Shigella,ESBL4589
4402,E.coli and Shigella,ESBL4583
4403,E.coli and Shigella,ESBL4580
4404,E.coli and Shigella,ESBL4578
4405,E.coli and Shigella,ESBL4574
4406,E.coli and Shigella,ESBL4571
4407,E.coli and Shigella,ESBL4576
4408,E.coli and Shigella,ESBL4568
4409,E.coli and Shigella,ESBL4564
4410,E.coli and Shigella,ESBL4554
4411,E.coli and Shigella,ESBL4557
4412,E.coli and Shigella,ESBL4555
4413,E.coli and Shigella,ESBL4551
4414,E.coli and Shigella,ESBL4547
4415,E.coli and Shigella,ESBL4548
4416,E.coli and Shigella,ESBL4540
4417,E.coli and Shigella,ESBL4533
4418,E.coli and Shigella,ESBL4539
4419,E.coli and Shigella,ESBL4538
4420,E.coli and Shigella,ESBL4526
4421,E.coli and Shigella,ESBL4525
4422,E.coli and Shigella,ESBL4519
4423,E.coli and Shigella,ESBL4509
4424,E.coli and Shigella,ESBL4518
4425,E.coli and Shigella,ESBL4496
4426,E.coli and Shigella,ESBL4488
4427,E.coli and Shigella,ESBL4498
4428,E.coli and Shigella,ESBL4469
4429,E.coli and Shigella,ESBL4470
4430,E.coli and Shigella,ESBL4464
4431,E.coli and Shigella,ESBL4448
4432,E.coli and Shigella,ESBL4453
4433,E.coli and Shigella,ESBL4452
4434,E.coli and Shigella,ESBL4435
4435,E.coli and Shigella,ESBL4430
4436,E.coli and Shigella,ESBL4426
4437,E.coli and Shigella,ESBL4428
4438,E.coli and Shigella,ESBL4425
4439,E.coli and Shigella,ESBL4418
4440,E.coli and Shigella,ESBL4413
4441,E.coli and Shigella,ESBL4411
4442,E.coli and Shigella,ESBL4407
4443,E.coli and Shigella,ESBL4422
4444,E.coli and Shigella,ESBL4402
4445,E.coli and Shigella,ESBL4401
4446,E.coli and Shigella,ESBL4396
4447,E.coli and Shigella,ESBL4395
4448,E.coli and Shigella,ESBL4393
4449,E.coli and Shigella,ESBL4405
4450,E.coli and Shigella,ESBL4382
4451,E.coli and Shigella,ESBL4384
4452,E.coli and Shigella,ESBL4381
4453,E.coli and Shigella,ESBL4380
4454,E.coli and Shigella,ESBL4375
4455,E.coli and Shigella,ESBL4374
4456,E.coli and Shigella,ESBL4363
4457,E.coli and Shigella,ESBL4355
4458,E.coli and Shigella,ESBL4361
4459,E.coli and Shigella,ESBL4352
4460,E.coli and Shigella,ESBL4349
4461,E.coli and Shigella,ESBL4347
4462,E.coli and Shigella,ESBL4330
4463,E.coli and Shigella,ESBL4329
4464,E.coli and Shigella,ESBL4324
4465,E.coli and Shigella,ESBL4322
4466,E.coli and Shigella,36.30
4467,E.coli and Shigella,36.27
4468,E.coli and Shigella,36.26
4469,E.coli and Shigella,36.24
4470,E.coli and Shigella,36.25
4471,E.coli and Shigella,36.22
4472,E.coli and Shigella,36.21
4473,E.coli and Shigella,36.18
4474,E.coli and Shigella,36.19
4475,E.coli and Shigella,36.17
4476,E.coli and Shigella,36.34
4477,E.coli and Shigella,36.12
4478,E.coli and Shigella,36.11
4479,E.coli and Shigella,36.32
4480,E.coli and Shigella,36.08
4481,E.coli and Shigella,36.10
4482,E.coli and Shigella,36.09
4483,E.coli and Shigella,36.06
4484,E.coli and Shigella,36.04
4485,E.coli and Shigella,36.01
4486,E.coli and Shigella,35.80
4487,E.coli and Shigella,35.79
4488,E.coli and Shigella,35.76
4489,E.coli and Shigella,35.75
4490,E.coli and Shigella,35.69
4491,E.coli and Shigella,35.65
4492,E.coli and Shigella,35.63
4493,E.coli and Shigella,35.64
4494,E.coli and Shigella,35.62
4495,E.coli and Shigella,35.60
4496,E.coli and Shigella,35.61
4497,E.coli and Shigella,35.59
4498,E.coli and Shigella,35.58
4499,E.coli and Shigella,35.54
4500,E.coli and Shigella,35.52
4501,E.coli and Shigella,35.50
4502,E.coli and Shigella,35.51
4503,E.coli and Shigella,35.49
4504,E.coli and Shigella,35.44
4505,E.coli and Shigella,35.41
4506,E.coli and Shigella,35.39
4507,E.coli and Shigella,35.36
4508,E.coli and Shigella,35.34
4509,E.coli and Shigella,35.33
4510,E.coli and Shigella,35.31
4511,E.coli and Shigella,35.29
4512,E.coli and Shigella,35.30
4513,E.coli and Shigella,35.28
4514,E.coli and Shigella,35.27
4515,E.coli and Shigella,35.23
4516,E.coli and Shigella,35.22
4517,E.coli and Shigella,35.21
4518,E.coli and Shigella,35.19
4519,E.coli and Shigella,35.17
4520,E.coli and Shigella,35.18
4521,E.coli and Shigella,35.15
4522,E.coli and Shigella,35.12
4523,E.coli and Shigella,35.13
4524,E.coli and Shigella,35.10
4525,E.coli and Shigella,35.11
4526,E.coli and Shigella,35.08
4527,E.coli and Shigella,35.05
4528,E.coli and Shigella,35.07
4529,E.coli and Shigella,35.06
4530,E.coli and Shigella,35.01
4531,E.coli and Shigella,34.81
4532,E.coli and Shigella,34.79
4533,E.coli and Shigella,34.76
4534,E.coli and Shigella,34.77
4535,E.coli and Shigella,34.78
4536,E.coli and Shigella,34.74
4537,E.coli and Shigella,34.73
4538,E.coli and Shigella,34.72
4539,E.coli and Shigella,34.71
4540,E.coli and Shigella,34.67
4541,E.coli and Shigella,34.69
4542,E.coli and Shigella,34.66
4543,E.coli and Shigella,34.65
4544,E.coli and Shigella,34.63
4545,E.coli and Shigella,34.60
4546,E.coli and Shigella,34.59
4547,E.coli and Shigella,34.58
4548,E.coli and Shigella,34.56
4549,E.coli and Shigella,34.54
4550,E.coli and Shigella,34.55
4551,E.coli and Shigella,34.53
4552,E.coli and Shigella,34.50
4553,E.coli and Shigella,34.52
4554,E.coli and Shigella,34.48
4555,E.coli and Shigella,34.44
4556,E.coli and Shigella,34.46
4557,E.coli and Shigella,34.45
4558,E.coli and Shigella,34.47
4559,E.coli and Shigella,34.41
4560,E.coli and Shigella,34.42
4561,E.coli and Shigella,34.40
4562,E.coli and Shigella,34.39
4563,E.coli and Shigella,34.38
4564,E.coli and Shigella,34.35
4565,E.coli and Shigella,34.34
4566,E.coli and Shigella,34.33
4567,E.coli and Shigella,34.32
4568,E.coli and Shigella,34.30
4569,E.coli and Shigella,34.28
4570,E.coli and Shigella,34.27
4571,E.coli and Shigella,34.26
4572,E.coli and Shigella,34.25
4573,E.coli and Shigella,34.24
4574,E.coli and Shigella,34.23
4575,E.coli and Shigella,34.18
4576,E.coli and Shigella,34.21
4577,E.coli and Shigella,34.20
4578,E.coli and Shigella,34.17
4579,E.coli and Shigella,34.19
4580,E.coli and Shigella,34.15
4581,E.coli and Shigella,34.14
4582,E.coli and Shigella,34.13
4583,E.coli and Shigella,34.11
4584,E.coli and Shigella,34.09
4585,E.coli and Shigella,34.08
4586,E.coli and Shigella,34.05
4587,E.coli and Shigella,34.04
4588,E.coli and Shigella,34.06
4589,E.coli and Shigella,34.02
4590,E.coli and Shigella,34.01
4591,E.coli and Shigella,33.79
4592,E.coli and Shigella,33.81
4593,E.coli and Shigella,33.78
4594,E.coli and Shigella,33.76
4595,E.coli and Shigella,33.77
4596,E.coli and Shigella,33.75
4597,E.coli and Shigella,33.74
4598,E.coli and Shigella,33.73
4599,E.coli and Shigella,33.72
4600,E.coli and Shigella,33.71
4601,E.coli and Shigella,33.65
4602,E.coli and Shigella,33.67
4603,E.coli and Shigella,33.66
4604,E.coli and Shigella,33.64
4605,E.coli and Shigella,33.63
